X,Y,Z
-2707027.984161,4688711.860085,3360431.673025
-2707029.109699,4688711.955660,3360431.434134
-2707029.109599,4688711.955760,3360431.434234
-2707029.109309,4688711.956050,3360431.434524
-2707029.108748,4688711.956611,3360431.435085
-2707029.107843,4688711.957516,3360431.435990
-2707029.106529,4688711.958830,3360431.437305
-2707029.104746,4688711.960613,3360431.439088
-2707029.102441,4688711.962918,3360431.441392
-2707029.099567,4688711.965792,3360431.444266
-2707031.049279,4688709.768229,3360427.388601
-2707029.093040,4688711.972180,3360431.449611
-2707029.088215,4688711.977004,3360431.454435
-2707029.082673,4688711.982546,3360431.459977
-2707029.076386,4688711.988834,3360431.466264
-2707029.069327,4688711.995893,3360431.473323
-2707029.061474,4688712.003746,3360431.481176
-2707029.052806,4688712.012414,3360431.489844
-2707029.043305,4688712.021915,3360431.499345
-2707029.032954,4688712.032265,3360431.509696
-2707028.777525,4688713.079169,3360435.749200
-2707029.009339,4688712.056870,3360431.538293
-2707028.996354,4688712.069855,3360431.551278
-2707028.982468,4688712.083741,3360431.565164
-2707028.967670,4688712.098539,3360431.579962
-2707028.951952,4688712.114257,3360431.595679
-2707028.935306,4688712.130903,3360431.612326
-2707028.917725,4688712.148485,3360431.629907
-2707028.899201,4688712.167008,3360431.648430
-2707028.879730,4688712.186479,3360431.667901
-2707031.757120,4688708.149245,3360430.660625
-2707028.843890,4688712.219932,3360431.707591
-2707028.821547,4688712.242275,3360431.729935
-2707028.798238,4688712.265584,3360431.753244
-2707028.773960,4688712.289862,3360431.777522
-2707028.748709,4688712.315113,3360431.802772
-2707028.722484,4688712.341338,3360431.828997
-2707028.695281,4688712.368541,3360431.856200
-2707028.667099,4688712.396723,3360431.884382
-2707028.637935,4688712.425887,3360431.913547
-2707025.248479,4688711.071903,3360432.212672
-2707028.566927,4688712.483161,3360431.975606
-2707028.534808,4688712.515280,3360432.007726
-2707028.501700,4688712.548388,3360432.040834
-2707028.467603,4688712.582485,3360432.074931
-2707028.432516,4688712.617572,3360432.110018
-2707028.396437,4688712.653651,3360432.146096
-2707028.359366,4688712.690722,3360432.183167
-2707028.321303,4688712.728785,3360432.221231
-2707028.282246,4688712.767842,3360432.260288
-2707030.038603,4688713.687797,3360431.437064
-2707028.207796,4688712.852197,3360432.338191
-2707028.165754,4688712.894239,3360432.380232
-2707028.122717,4688712.937276,3360432.423270
-2707028.078683,4688712.981310,3360432.467304
-2707028.033653,4688713.026340,3360432.512334
